Social Media site,Parameter,Data source,SPARQL query,Opmerking
Facebook,Vrienden lijst,Wikidata,https://www.wikidata.org/wiki/Wikidata:WikiProject_Alba_amicorum_National_Library_of_the_Netherlands/Jacob_Heyblocq/Contributors/Overviews,Vrienden lijst wordt gegenereerd op basis van personen in Album Amicorum.
Facebook,,Wikidata,https://query.wikidata.org/#select%20distinct%20%3FcontributorLabel%20%3FBPNid%20%3FBPNlink%0Awhere%20%7B%0A%20%20%20%20wd%3AQ72752496%20wdt%3AP1476%20%3Ftitel.%0A%20%20%20%20wd%3AQ72752496%20wdt%3AP767%20%3Fcontributor.%0A%20%20%20%20OPTIONAL%7B%3Fcontributor%20p%3AP651%20%3Fid1.%0A%20%20%3Fid1%20ps%3AP651%20%3FBPNid.%7D%0A%20%20bind%28uri%28concat%28%22http%3A%2F%2Fwww.biografischportaal.nl%2Fpersoon%2Fjson%2F%22%2C%3FBPNid%29%29%20as%20%3FBPNlink%29%0A%20%20%20%20%20%20%20%20%20%20%0A%20%20%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22%5BAUTO_LANGUAGE%5D%22.%20%7D%0A%20%20%7D%0A%0Aorder%20by%20%3FcontributorLabel%0ALIMIT%20250%0A, Lijst van alle bijdragers net link naar Biografisch portaal. Uit de JSON van BPN kunnen de levensbeschrijvingen (biographies) en portretten (figures) gehaald worden.
Facebook,Foto's,Wikidata,https://query.wikidata.org/#%23defaultView%3AImageGrid%0ASELECT%20%3Fcontr%20%3FcontrLabel%20%20%0A%20%20%20%20%20%20%20%3Fitem%20%3FitemLabel%20%3FitemDescription%20%3Fimage%20%3Fgemaakt%20%3FcollectieLabel%20WHERE%20%7B%0A%20%0A%20%20%20wd%3AQ72752496%20wdt%3AP767%20%3Fcontr.%0A%0A%20%20%20%20OPTIONAL%20%7B%20%3Fitem%20%20wdt%3AP170%20%3Fcontr%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP31%2Fwdt%3AP279%2a%20%20wd%3AQ838948%20%3B%20%23%20Behoort%20tot%20artwork%20%28subclass%29%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP571%20%3Fgemaakt%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP195%20%3Fcollectie%20.%0A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20OPTIONAL%20%7B%20%3Fitem%20wdt%3AP18%20%3Fimage%20%7D%20%23%20Optionally%20with%20an%20image%0A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0A%0A%20%20%20%20%20%20%20%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22.%20%7D%0A%20%20%20%20%20%20%20%7D%0AORDER%20BY%20%3FcontrLabel%20%3Fgemaakt%0ALIMIT%201000%0A, Lijst met alle kunstwerken van alle bijdragers uit Wikidata. Lijst bevat nog wel dubbele kunstwerken.
Facebook,Foto's,Wikidata,https://query.wikidata.org/#SELECT%20%3Fcontr%20%3FcontrLabel%20%20%0A%20%20%20%20%20%20%20%3Fitem%20%3FitemLabel%20%3FitemDescription%20%3Fimage%20%3Fgemaakt%20%3FcollectieLabel%20WHERE%20%7B%0A%20%0A%20%20%20wd%3AQ72752496%20wdt%3AP767%20%3Fcontr.%0A%0A%20%20FILTER%20%28%20%3Fcontr%20%3D%20wd%3AQ381801%20%29%0A%0A%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20%20%20%20%0A%20%20%20%20OPTIONAL%20%7B%20%3Fitem%20%20wdt%3AP170%20%3Fcontr%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP31%2Fwdt%3AP279%2a%20%20wd%3AQ838948%20%3B%20%23%20Behoort%20tot%20artwork%20%28subclass%29%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP571%20%3Fgemaakt%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP195%20%3Fcollectie%20.%0A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20OPTIONAL%20%7B%20%3Fitem%20wdt%3AP18%20%3Fimage%20%7D%20%23%20Optionally%20with%20an%20image%0A%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0A%0A%20%20%20%20%20%20%20%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22.%20%7D%0A%20%20%20%20%20%20%20%7D%0AORDER%20BY%20%3FcontrLabel%20%3Fgemaakt%0ALIMIT%20100, Kunstwerken voor één persoon
Facebook,,Wikidata,https://query.wikidata.org/#SELECT%20%20%3FcontrLabel%20%3FJaarGeb%20%3FJaarOvl%20%3FwerklocLabel%20%3FberoepLabel%0A%20%20%20%20%20%20%20%20WHERE%20%7B%0A%20%0A%0A%20%20%20BIND%20%28%20wd%3AQ381801%20as%20%3Fcontr%20%29%0A%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%0A%20%20%20OPTIONAL%20%7B%20%3Fcontr%20wdt%3AP569%20%3Fgeboortedatum%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP570%20%3Foverlijdensdatum%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP937%20%3Fwerkloc%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20wdt%3AP106%20%3Fberoep%20.%20%7D%0A%20%0A%20%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20BIND%20%28%20YEAR%28%3Fgeboortedatum%29%20as%20%3FJaarGeb%29%0A%20%20%20%20%20%20BIND%20%28%20YEAR%28%3Foverlijdensdatum%29%20as%20%3FJaarOvl%29%0A%20%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20%20%20%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22.%20%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%7D%0A%20%20%20%20%20%20%20%7D%0A, Geboortejaar + overlijdensjaar + werlocatie + beroep van één persoon uit Wikidata
Facebook,Teksten,Wikidata/data.bibliotheken.nl,https://w.wiki/zzU,Lijst met titels in DBNL van alle auteurs uit het Alba Amicorum
Facebook,Teksten,Wikidata/data.bibliotheken.nl,https://query.wikidata.org/#PREFIX%20xsd%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%3E%0APREFIX%20schema%3A%20%3Chttp%3A%2F%2Fschema.org%2F%3E%0APREFIX%20rdf%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23%3E%0APREFIX%20rdfs%3A%20%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%3E%0A%0ASELECT%20%3Fcontr%20%3FcontrLabel%20%3FDBNL_ID%20%3FDBNL_IDLabel%20%20%3Ftitel%20%3Ftekst%0A%20%20%20%20WHERE%20%7B%0A%20%0A%20%20%20wd%3AQ72752496%20wdt%3AP767%20%3Fcontr.%20%23%20Bijdrage%20geleverd%20aan%20Alba%20Amicorum%0A%0A%20%20FILTER%20%28%20%3Fcontr%20%3D%20wd%3AQ312673%20%29%20%23%20Q-nummer%20van%20persoon%20invullen%2C%20voorbeeld%20is%20Joost%20van%20den%20Vondel%20%0A%0A%20%20%20%20OPTIONAL%20%7B%20%3Fcontr%20wdt%3AP723%20%3FDBNL_ID%20%7D%20%20.%20%23%20Ophalen%20DBNL%20identifier%20%0A%20%20%20%20%20%20%0A%20%20%20%20%20%20%23%20Ophalen%20gegevens%20uit%20data.bibliotheken.nl%0A%20%20%20%20%20%20SERVICE%20%3Chttp%3A%2F%2Fdata.bibliotheken.nl%2Fsparql%3E%7B%0A%20%20%20%20%20%20%20%20%20%20%3Fauthor%20schema%3Aidentifier%20%3FDBNL_ID%20%3B%20%23%20auteur%20ophalen%20aan%20de%20hand%20van%20DBNL%20identifier%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20schema%3Aname%20%3Fnaam%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20schema%3AmainEntityOfPage%20%3FPage%20.%0A%20%20%20%20%20%20%20%20%3FPage%20schema%3AmainEntity%20%3Fauthorid%20.%0A%20%20%20%20%20%20%20%20%20%20%3Ftitel%20schema%3Aauthor%20%3Fauthorid%20%3B%20%20%23%20titels%20in%20DBNL%20ophalen%20voor%20de%20auteur%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20schema%3Aurl%20%3Furl%20%3B%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20schema%3Aidentifier%20%3Fid1.%0A%0A%20%20%20%20%20%20%20%20%20%0A%0A%20%20%7D%0A%20%20%20%20%20%20%20bind%28uri%28concat%28%22http%3A%2F%2Fwww.dbnl.org%2Ftekst%2F%22%2C%20%3Fid1%2C%20%22_01%2F%22%2C%3Fid1%2C%22_01_0001.php%22%29%29%20as%20%3Ftekst%29%20%23%20url%20aanmaken%20naar%20eerste%20pagina%20van%20de%20tekst%0A%20%20%0A%20%20%20%20%20%20%20%20%20%0A%20%20%20%20%20%20%20%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22.%20%7D%0A%20%20%20%20%20%20%20%7D%0ALIMIT%20100, Ophalen titels en link naar eerste pagina van de tekst voor één auteur
